Date,Close
1/22/2020,9.97
1/23/2020,9.69
1/24/2020,9.4
1/27/2020,9.09
1/28/2020,9.18
1/29/2020,9.32
1/30/2020,9.4
1/31/2020,9.07
2/3/2020,9.03
2/4/2020,9.12
2/5/2020,9.49
2/6/2020,9.44
2/7/2020,9.06
2/10/2020,9.01
2/11/2020,9.17
2/12/2020,9.12
2/13/2020,8.97
2/14/2020,8.79
2/18/2020,8.82
2/19/2020,9.2
2/20/2020,9.27
2/21/2020,9.43
2/24/2020,9.14
2/25/2020,8.5
2/26/2020,8.26
2/27/2020,7.77
2/28/2020,8.02
3/2/2020,8.27
3/3/2020,7.91
3/4/2020,8.05
3/5/2020,7.44
3/6/2020,7.08
3/9/2020,6.03
3/10/2020,6.62
3/11/2020,5.99
3/12/2020,5.07
3/13/2020,5.42
3/16/2020,5.32
3/17/2020,5.58
3/18/2020,4.9
3/19/2020,5.28
3/20/2020,5.29
3/23/2020,5.44
3/24/2020,5.95
3/25/2020,5.87
3/26/2020,6.11
3/27/2020,5.78
3/30/2020,5.82
3/31/2020,6.31
4/1/2020,6.39
4/2/2020,6.14
4/3/2020,5.96
4/6/2020,6.35
4/7/2020,6.46
4/8/2020,6.76
